"OTUID"	"WM13"	"WM14"	"WM15"	"WM16"	"WM20"	"WM21"	"WM22"	"WM23"	"WM24"	"WM25"	"WM26"	"WM27"	"WM28"	"WM29"	"WM30"	"WM43"	"WM44"	"WM45"	"WM46"	"WM48"	"WM49"	"WM50"	"WM51"	"WM52"	"WM53"	"WM55"	"WM56"	"WM57"	"WM58"	"WM60"
"b4b2db3f6a2c3c3b7d69a226d52343e2"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
"e957f23cf28705b3db3e793fdb67e6c8"	2	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	6	1	0	0	5	1	3	2
"ea83f2f2e9ba31d041881b89e752d0e7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	16	5	4	1	1	4	0
"ecf90ee63e3e3c4d2f03439bb0e9a1d5"	0	4	2	2	0	3	4	1	0	0	0	0	0	0	0	2	0	3	3	3	0	0	0	0	0	0	0	0	0	0
"4559d8596bd0329bb3249f4639bb636c"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
"29a1ab348bb6dcdf6a3c6f6d01b73dd0"	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27f4fcd9ecbb53f5822d66f76d506fcb"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0
"1402ffd3c2ea01755b52be72d07ddd9b"	0	0	0	3	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8967e9d4c9fd9438e30127a75646940a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
"eefcddf6d955e1afd07e0cc824e7c961"	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"e80f9e6afadadb86ebc14139f63e3e32"	0	0	0	0	0	0	0	0	7	6	1	2	8	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"e96b52fb1bda80ea1a1bf7d5b0e077b0"	1	0	4	1	0	0	0	0	6	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f2474e0f7ac9a7b9bfce924dbf72d06b"	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	4
"99d0eb7418293136e925b9031bf11b34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	2	0	0	0	0	0
"889a0588bac555f6bc1393972c3f9f1a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	2	0	1	0	2	0	0	2	0	0	0	0	0
"573866ce270c39345fdeaae93ad8b065"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"23eb78b57a8614eaa7b50b94f91b9f4d"	0	0	0	0	3	1	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0
"44167c9924aa7a5a29a8b5b594202501"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0
"491f6a91a939ec5aeb08bd2926035b55"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0
"e946d21c284c1b1a2f6123c6938b17eb"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"065e0b184041185d33d35e032c9060a1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
"c6e8a28c6f4bab10211d68fcb61af5a6"	1	2	2	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"4836956d889607e9c73101e59e49016c"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"67993e84bce46a7fb778f2b543eb20d7"	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
"d4729d86a4c5f856ea4050eba75b5913"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
"fe819e665a37b1f36ba14c00e2569b1d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
"a7812ac1bebc2a1e537b4b190f5a7496"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	1	0	0	0	0	0	0	0
"e7310a454c194c390fafac0ede382536"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0
"d1fd39f85ee13886c1d00e4c5896fa7f"	0	0	0	0	0	0	0	0	0	19	0	10	11	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"62904030a73995d75ae8b8731122fba2"	0	0	0	0	0	0	0	0	6	12	0	33	22	8	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cc758e81c74def90d456fd7f248301a8"	0	0	0	0	0	0	0	0	3	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a42bef95685aacb34c44ccf13bcc5a52"	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
"e9bfefedc768d83d09e64e992334266a"	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cfbc67d0a0ac39f54419ba44985ff097"	32	0	0	6	0	0	0	1	1	1	1	3	3	0	7	0	0	0	0	0	1	2	3	0	0	0	2	3	0	0
"8be53ed3f8b41a4059d26d93293c8609"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5f46462d647b007128e6241eeff19b19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	2
"08a376ec2f0de3acc36f1434a7d21165"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0
"e0ad08306f40703f43e01b3b03e6a115"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4ef67161dbb5f500e675ab2e48dac92e"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c816b1c39fe333dcb1d95cceaa6abd56"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	6	0	0	0	0	0	0	0
"eade20db6f82a0840ffdf2088f3a073f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"10762daa9072cbf826ef600a894cbaac"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2
"0b29b5570338595ce15ff3f0b7e0cade"	0	0	0	2	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"030e229beb2aab6fbcbd528f8405baf7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0
"0f0986fdf6380409d8df315c21ae825c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	4	0
"b0529cc9557407b0dadda7cda7f9084c"	0	2	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"b994625e06abffdc691863bfe7bad3c0"	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"e3e8faf17c6f23a18faf291df43d8bc2"	0	0	0	0	2	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a2f04d7433235a13487b27a848b0fe11"	5	2	3	1	0	0	0	0	0	0	0	0	0	0	0	4	5	5	10	4	1	7	0	3	4	1	0	3	1	0
"b995eaf8ebda3f2b6a57fd964c2441ad"	0	0	0	0	3	3	2	1	0	0	5	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"bcf18d0deaa00878adab5d1ced5c8e08"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	1	0	0	5	0
"105904fe6df9f4f55ff942deef0638bd"	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"0da62a55ab5475cf67d5645db4e99612"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	1	8	2	3	0	7	22	0
"fc3295c87b642ed294dc071083c6b80d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
"f2a151be1cc761779891e249e9c89d50"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	2	0	0	0	3	2	0
"b49d2d121504eb054ebe3e625e101e95"	0	0	1	0	3	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2ada2a2040d7f5ddbe44cfbaa9978eb3"	0	0	0	0	0	0	0	0	0	2	0	0	3	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"75f23f007899699685d29f57568eba7a"	1	0	6	6	7	5	4	9	3	2	5	2	0	2	0	13	3	5	3	3	9	2	4	4	1	1	0	4	2	2
"7876ab9083310b0c0c57e161bd0fc0ee"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0
"ad484e220972f31f2ec94d31dd91ea6e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	2	0	0	2	0	1	0
"8015eab5a0fc19da93a28cbaf7807407"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
"a61697b9873ee91fa390883f7896f8ee"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
"0964472e4785f1295ce357a39e55788d"	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	7	5	11	0	1	0	0	0	0	0
"4cf743475cd1ba4fdcc4c4caeffd2c71"	0	0	0	0	0	0	0	0	3	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"6f2f866511b0bc1c73a16de470d823f8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	3	6	2	1	3	0	4	0	1	0	0	0
"370ffa10779db290147e82da9c86ecdf"	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eff4b7aae7d8bad9edfe476334840828"	2	2	4	0	4	20	10	9	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1
"5ba62bd0d069b5e1193f7146bb5ca55e"	1	2	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"fe28cd607074524eac58c4a30588cc2d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	1
"1353f4d385cb6e78e3f5939a8222264f"	1	2	0	1	1	0	2	1	0	0	2	1	0	1	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"da71efef12cdc887c095ffb53ff8f9cd"	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"e2f31fad7131ea84c80250c758a7eece"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	3	0	0	1	0	0	0	0
"28c708adb90660d23e8ba1620d04a1da"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
"849bacd66a26488e9009dad08e23f87f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9	4	3	0
"96d05a1976f481cb2e27f806d6842e1c"	0	0	0	0	4	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4a58a28abb4b62923b0a7f885477a38e"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
"f27db4fb16bcdc83adea53f5f92f141e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0
"9ee266c7e4852e7f5b76205e2ddc106f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"3fc4c2c5522dfc8011d6a99c8693a4d3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
"e3ecffb60a260fae6d56510a7e971a24"	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6ee6abd33f4990a43aef2724906f5a06"	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cf21216eb994376d2fdffd0157f29e6d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	2
"68d442e7dc0e4a048e444ade45de42d4"	0	0	0	0	3	9	2	7	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"0a4485ba37deb9dc54bb085f21e53e4a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"079c3a09469dc33ceca0dc38759320fe"	0	0	0	0	0	0	0	0	3	7	1	5	3	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"efdc769a7a69a5fa7182e93b330c52ae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3	0	0
"241b820e3bf0b46866e34bb80d8e8320"	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"68e8444a6510016f0071c28dbbd3635f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
"4535ea9ff935cd9f414e4affb0376e39"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0
"b5b9fb78d1e25e62e450bf31c3f158c9"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
"dde5f212964aff5924985810ad6c65a0"	4	5	0	4	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"82c98ad7feff8dbc28fdb770b205ecd1"	0	0	0	0	0	0	0	0	5	0	1	7	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"779580c1320b3019a886cf836b9ac70a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"39a9276b5d6c5cdae3739d42594dc0af"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	3	0	0	0	0	0	0	0
"2cfb2511ec5bbdad7201ef433ddd321c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	0	1	2	1	0	0	0	0	0	0	0
"619eb917f30f771af01449fe5a42374c"	0	0	0	0	0	0	0	0	0	1	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a14127235475ef81556ac3ea9dc1ce23"	3	3	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	2	1	0	0	0	0	0	0
"c333e3a249bf90f7c39501ecf29ba3c7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0
"c76089c48085d093484fee5ed50cd198"	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"44a599a3cae2f3dbccdb1bc46a4a5e5f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"27bf0807ec8605f61e8d89d346fa5425"	0	27	0	0	2	0	0	0	24	31	9	25	17	25	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a28b22d5905aaa474156656a99cf9246"	0	0	0	0	3	0	0	0	4	4	7	6	4	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"f598b2eaeb47fa52b130b29f16fd0f72"	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"e11d9242c29e39dfa45687331dc11c27"	0	0	2	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c2d89cfde08a928530da593fe32fdd81"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
